string,date,url,author,source,category
"NASA now aims to launch massive next-generation rocket on debut flight in early 2022: On October 22nd, NASA announced plans to launch its next-generation Space Launch System rocket on its debut flight as early as February of 2022. The rocket’s inaugural mission, named Artemis I, is the first in a series that is meant to culminate with humans l…: NASA/Frank Michaux

 

 NASA is aiming to fly its massive, next-generation rocket, the Space Launch System, for the first time in February of 2022, a critical test flight on NASA’s journey to send p… [+4453 chars]",2021-10-22T20:12:31Z,https://www.theverge.com/2021/10/22/22740741/nasa-space-launch-system-february-2022-launch-orion-artemis-i,Loren Grush,"{'id': 'the-verge', 'name': 'The Verge'}",space
"NASA plans to launch Artemis I Moon mission in February 2022: You'll have to wait a while longer for NASA's Artemis I mission. Space.comnotes NASA now expects to launch the uncrewed Artemis I flight test in February 2022, with the liftoff window opening as soon as February 12th. The Orion capsule has been stacked on top…: You'll have to wait a while longer for NASA's Artemis I mission. Space.comnotes NASA now expects to launch the uncrewed Artemis I flight test in February 2022, with the liftoff window opening as soon… [+1206 chars]",2021-10-23T16:37:49Z,https://www.engadget.com/nasa-artemis-i-sls-launch-date-163749274.html,Jon Fingas,"{'id': 'engadget', 'name': 'Engadget'}",space
"The Morning After: NASA sets a new date for its Artemis I Moon mission: NASA now expects to launch its uncrewed Artemis I flight test in February 2022, with the liftoff window as early as February 12th. The space agency had initially planned for a November 2021 test flight, but, well, it’s been that kind of a year.
NASA
The Ori…: NASA now expects to launch its uncrewed Artemis I flight test in February 2022, with the liftoff window as early as February 12th. The space agency had initially planned for a November 2021 test flig… [+3235 chars]",2021-10-25T11:15:40Z,https://www.engadget.com/the-morning-after-nasa-sets-a-new-date-for-its-artemis-i-moon-mission-111540841.html,Mat Smith,"{'id': 'engadget', 'name': 'Engadget'}",space
"SpaceX needs to tame toilet trouble before weekend launch - TheRecord.com: <ol><li>SpaceX needs to tame toilet trouble before weekend launch  TheRecord.com
</li><li>Space tourism company ditches Elon Musk’s SpaceX, opts for Russian Soyuz instead  National Post
</li><li>SpaceX spacecraft gain enough experience to deliver Russian co…: CAPE CANAVERAL, Fla. (AP) SpaceX is taming some toilet troubles in its capsules before it launches four more astronauts. 
The company and NASA want to make sure the toilet leaks wont compromise the … [+2082 chars]",2021-10-26T15:09:55Z,https://www.thestar.com/news/world/us/2021/10/26/spacex-needs-to-tame-toilet-trouble-before-weekend-launch.html,Marcia Dunn,"{'id': None, 'name': 'Toronto Star'}",space
"S.Korea prepares to launch first domestically produced space rocket - Reuters: South Korea is scheduled to conduct its first test launch into space of a domestically built rocket on Thursday in a major step toward jumpstarting the country’s space programme.: A couple watch a television report broadcasting the launch of South Korea's space rocket Korea Space Launch Vehicle-1 (KSLV-1) or Naro at Naro Space Centre in Goheung, about 485 km (301 miles) south … [+1876 chars]",2021-10-21T00:02:00Z,https://www.reuters.com/lifestyle/science/skorea-prepares-launch-first-domestically-produced-space-rocket-2021-10-20/,,"{'id': 'reuters', 'name': 'Reuters'}",space
"S.Korea's launch of space rocket boosts its homegrown contractors - Reuters: South Korea's push for a domestically made space rocket promises wide ranging benefits for its military and government, with a fillip to national prestige, but is also good for business.: Participants looks at a display of rocket engines and other components manufactured by Hanwha during the Seoul International Aerospace and Defense Exhibition (ADEX), in Seongnam, South Korea, October… [+3563 chars]",2021-10-21T08:29:00Z,https://www.reuters.com/world/asia-pacific/skoreas-launch-space-rocket-boosts-its-homegrown-contractors-2021-10-21/,,"{'id': 'reuters', 'name': 'Reuters'}",space
"Blue Origin: Jeff Bezos unveils plans for 'space business park': His space company Blue Origin hopes its venture will replace the International Space Station.: Image source, Blue Origin
Image caption, An artist's impression of the Orbital Reef space station
Blue Origin, the space tourism company owned by Amazon founder Jeff Bezos, has announced plans to l… [+2201 chars]",2021-10-26T03:04:48Z,https://www.bbc.co.uk/news/world-us-canada-59046076,https://www.facebook.com/bbcnews,"{'id': 'bbc-news', 'name': 'BBC News'}",space
"What's Happening in Space Policy October 24-31, 2021 – SpacePolicyOnline.com - SpacePolicyOnline.com: Posted: October 24, 2021 2:50 pm ET | Last Updated: October 24, 2021 3:02 pm ET | Get SpacePolicyOnline.com's list of space policy events for the week plus a day of October 24-31, 2021 including briefings leading up to the launch of Crew-3 to the Internationa…: Here is SpacePolicyOnline.com’s list of space policy events for the week plus a day of October 24-31, 2021 and any insight we can offer about them. The House and Senate are in session this week.
Dur… [+4504 chars]",2021-10-24T18:50:00Z,https://spacepolicyonline.com/news/whats-happening-in-space-policy-october-24-31-2021/,,"{'id': None, 'name': 'SpacePolicyOnline.com'}",space
"Rocket startup ABL Space Systems valued at $2.4 bln after latest funding - Reuters: ABL Space Systems, a maker of low-cost small satellite launch vehicles, said on Monday it had secured a valuation of $2.4 billion after raising $200 million in fresh capital in a funding round from its existing investors.: Oct 25 (Reuters) - ABL Space Systems, a maker of low-cost small satellite launch vehicles, said on Monday it had secured a valuation of $2.4 billion after raising $200 million in fresh capital in a f… [+1108 chars]",2021-10-25T16:20:00Z,https://www.reuters.com/technology/rocket-startup-abl-space-systems-valued-24-bln-after-latest-funding-2021-10-25/,,"{'id': 'reuters', 'name': 'Reuters'}",space
"Rocket startup ABL Space Systems valued at $2.4 bln after latest funding - Reuters: ABL Space Systems, a maker of low-cost small satellite launch vehicles, said on Monday it had secured a valuation of $2.4 billion after raising $200 million in fresh capital in a funding round from its existing investors.: By Reuters Staff
(Reuters) - ABL Space Systems, a maker of low-cost small satellite launch vehicles, said on Monday it had secured a valuation of $2.4 billion after raising $200 million in fresh cap… [+999 chars]",2021-10-25T16:12:00Z,https://www.reuters.com/article/abl-space-systems-funding-idUSKBN2HF1PV,Reuters Staff,"{'id': 'reuters', 'name': 'Reuters'}",space
